Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_samples;1024;0;0;Initial;Memory;64659456
Reference;scale_samples;1024;0;1;Update;Time;7672800
Reference;scale_samples;1024;0;1;Update;Memory;69517312
Reference;scale_samples;1024;0;2;Update;Time;812400
Reference;scale_samples;1024;0;2;Update;Memory;74051584
Reference;scale_samples;1024;0;3;Update;Time;571100
Reference;scale_samples;1024;0;3;Update;Memory;80457728
Reference;scale_samples;1024;0;4;Update;Time;531200
Reference;scale_samples;1024;0;4;Update;Memory;82829312
Reference;scale_samples;1024;0;5;Update;Time;319500
Reference;scale_samples;1024;0;5;Update;Memory;83140608
Reference;scale_samples;1024;0;6;Update;Time;319300
Reference;scale_samples;1024;0;6;Update;Memory;83509248
Reference;scale_samples;1024;0;7;Update;Time;256600
Reference;scale_samples;1024;0;7;Update;Memory;83185664
Reference;scale_samples;1024;0;8;Update;Time;236400
Reference;scale_samples;1024;0;8;Update;Memory;87404544
Reference;scale_samples;1024;0;9;Update;Time;191600
Reference;scale_samples;1024;0;9;Update;Memory;88666112
Reference;scale_samples;1024;0;10;Update;Time;222300
